dataset_variant,training_variant,Recall@10,Recall@20,Recall@50,Tail_Recall@50,MRR@10,NDCG@10,selection_score,sessions,users,items,mean_completion_pct,median_completion_pct,chapter_end_rate,mid_chapter_rate,abandon_early_rate,steady_rate,dataset_rationale,training_rationale
app_like_balanced,phase1_tail_strong_lr3e4,0.005727631652115887,0.011177222932769838,0.02683089584607685,0.011848847139197267,0.001916448427041765,0.0027900540928468788,0.036894156830446966,239778,4000,8000,0.3687905896287399,0.26,0.119685709281085,0.880314290718915,0.8102786744405241,0.18970881398627062,"More app-like engagement distribution: less brittle exits, stronger taste clusters, and moderate completion signal.",Stronger tail-positive oversampling for weak tail recall.
calibrated_balanced,phase1_tail_extreme_lr2e4,0.00619857682899711,0.011591060707138091,0.025489215032243717,0.012306686996297103,0.001918198993332415,0.002897128005178821,0.03592306202909436,239841,4000,8000,0.28903169182917016,0.19,0.0638589732364358,0.9361410267635641,0.8784319611742779,0.12156803882572204,Lower transition exits and stronger engagement to fix the prior near-total abandonment problem.,Extreme tail-positive oversampling; useful to prove when tail boosting starts hurting head relevance.
tail_discovery_stress,phase1_tail_extreme_lr2e4,0.006174041215896766,0.0112912645660094,0.02572517173290319,0.011692711179106108,0.002030445536577861,0.002974426506162429,0.03574592312791784,239716,4000,8000,0.22118911545328643,0.14,0.03034424068481036,0.9696557593151897,0.9305219509753208,0.0694780490246792,Harder tail-discovery setting with lower average quality and very sharp item niches.,Extreme tail-positive oversampling; useful to prove when tail boosting starts hurting head relevance.
long_tail_harder,late_mild_hardneg_tail,0.006238859180035651,0.012199197860962567,0.027963458110516932,0.008383233532934131,0.002043191013779249,0.0030008846814416697,0.03551190218402276,239362,4000,8000,0.20374888244583517,0.12,0.023533392936222124,0.9764666070637779,0.9423174940048964,0.05768250599510365,Keeps the task harder with sharper user/item taste clusters and stronger long-tail separation.,"Delays hard negatives until the towers are stable, then applies very low hard-negative pressure."
high_completion_stress,phase1_tail_extreme_lr2e4,0.004780699316248819,0.010450831063427651,0.02537661904497193,0.010835410120273052,0.0015039724452421098,0.002248632240279511,0.03444132780655713,239857,4000,8000,0.4889013036934507,0.4,0.22743551366022255,0.7725644863397775,0.699003989877302,0.30098767182112673,Tests whether retrieval improves when labels contain many clear positive completions.,Extreme tail-positive oversampling; useful to prove when tail boosting starts hurting head relevance.
diverse_taste_clusters,phase1_tail_extreme_lr2e4,0.005473286472369628,0.010557608423860195,0.02508821159669936,0.009253281687109963,0.0014978992828852521,0.0024047431519750176,0.033003833470746896,239954,4000,8000,0.2909928986389058,0.19,0.0663752219175342,0.9336247780824658,0.8769972578077465,0.12299440726139177,Sharper taste clusters and richer topical separation to test whether personalization improves with more learnable structure.,Extreme tail-positive oversampling; useful to prove when tail boosting starts hurting head relevance.
baseline_legacy_enriched,phase1_tail_extreme_lr2e4,0.005613450048631374,0.010726691677087676,0.023954425455050717,0.01044695745826602,0.0018008605878551689,0.0026832292445125457,0.032910666006842164,239904,4000,8000,0.10006936107776446,0.06,0.0019549486461251167,0.9980450513538749,0.9920343137254902,0.007965686274509803,"Control run: original simulator pressure with richer catalog text. If this loses, the issue is behavioral calibration, not only content text.",Extreme tail-positive oversampling; useful to prove when tail boosting starts hurting head relevance.
